id,CalendarDate,DayWeek,TypeDay
207,"2018-07-26",Четверг,Рабочий день
208,"2018-07-27",Пятница,Рабочий день
209,"2018-07-28",Суббота,Выходной день
210,"2018-07-29",Воскресенье,Выходной день
211,"2018-07-30",Понедельник,Рабочий день
212,"2018-07-31",Вторник,Рабочий день
213,"2018-08-01",Среда,Рабочий день
214,"2018-08-02",Четверг,Рабочий день
215,"2018-08-03",Пятница,Рабочий день
216,"2018-08-04",Суббота,Выходной день
217,"2018-08-05",Воскресенье,Выходной день
218,"2018-08-06",Понедельник,Рабочий день
219,"2018-08-07",Вторник,Рабочий день
220,"2018-08-08",Среда,Рабочий день
221,"2018-08-09",Четверг,Рабочий день
222,"2018-08-10",Пятница,Рабочий день
223,"2018-08-11",Суббота,Выходной день
224,"2018-08-12",Воскресенье,Выходной день
225,"2018-08-13",Понедельник,Рабочий день
226,"2018-08-14",Вторник,Рабочий день
227,"2018-08-15",Среда,Рабочий день
228,"2018-08-16",Четверг,Рабочий день
229,"2018-08-17",Пятница,Рабочий день
230,"2018-08-18",Суббота,Выходной день
231,"2018-08-19",Воскресенье,Выходной день
232,"2018-08-20",Понедельник,Рабочий день
233,"2018-08-21",Вторник,Рабочий день
234,"2018-08-22",Среда,Рабочий день
235,"2018-08-23",Четверг,Рабочий день
236,"2018-08-24",Пятница,Рабочий день
237,"2018-08-25",Суббота,Выходной день
238,"2018-08-26",Воскресенье,Выходной день
239,"2018-08-27",Понедельник,Рабочий день
240,"2018-08-28",Вторник,Рабочий день
241,"2018-08-29",Среда,Рабочий день
242,"2018-08-30",Четверг,Рабочий день
243,"2018-08-31",Пятница,Рабочий день
244,"2018-09-01",Суббота,Выходной день
245,"2018-09-02",Воскресенье,Выходной день
246,"2018-09-03",Понедельник,Рабочий день
247,"2018-09-04",Вторник,Рабочий день
248,"2018-09-05",Среда,Рабочий день
249,"2018-09-06",Четверг,Рабочий день
250,"2018-09-07",Пятница,Рабочий день
251,"2018-09-08",Суббота,Выходной день
252,"2018-09-09",Воскресенье,Выходной день
253,"2018-09-10",Понедельник,Рабочий день
254,"2018-09-11",Вторник,Рабочий день
255,"2018-09-12",Среда,Рабочий день
256,"2018-09-13",Четверг,Рабочий день
257,"2018-09-14",Пятница,Рабочий день
258,"2018-09-15",Суббота,Выходной день
259,"2018-09-16",Воскресенье,Выходной день
260,"2018-09-17",Понедельник,Рабочий день
261,"2018-09-18",Вторник,Рабочий день
262,"2018-09-19",Среда,Рабочий день
263,"2018-09-20",Четверг,Рабочий день
264,"2018-09-21",Пятница,Рабочий день
265,"2018-09-22",Суббота,Выходной день
266,"2018-09-23",Воскресенье,Выходной день
267,"2018-09-24",Понедельник,Рабочий день
268,"2018-09-25",Вторник,Рабочий день
269,"2018-09-26",Среда,Рабочий день
270,"2018-09-27",Четверг,Рабочий день
271,"2018-09-28",Пятница,Рабочий день
272,"2018-09-29",Суббота,Выходной день
273,"2018-09-30",Воскресенье,Выходной день
274,"2018-10-01",Понедельник,Рабочий день
275,"2018-10-02",Вторник,Рабочий день
276,"2018-10-03",Среда,Рабочий день
277,"2018-10-04",Четверг,Рабочий день
278,"2018-10-05",Пятница,Рабочий день
279,"2018-10-06",Суббота,Выходной день
280,"2018-10-07",Воскресенье,Выходной день
281,"2018-10-08",Понедельник,Рабочий день
282,"2018-10-09",Вторник,Рабочий день
283,"2018-10-10",Среда,Рабочий день
284,"2018-10-11",Четверг,Рабочий день
285,"2018-10-12",Пятница,Рабочий день
286,"2018-10-13",Суббота,Выходной день
287,"2018-10-14",Воскресенье,Выходной день
288,"2018-10-15",Понедельник,Рабочий день
289,"2018-10-16",Вторник,Рабочий день
290,"2018-10-17",Среда,Рабочий день
291,"2018-10-18",Четверг,Рабочий день
292,"2018-10-19",Пятница,Рабочий день
293,"2018-10-20",Суббота,Выходной день
294,"2018-10-21",Воскресенье,Выходной день
295,"2018-10-22",Понедельник,Рабочий день
296,"2018-10-23",Вторник,Рабочий день
297,"2018-10-24",Среда,Рабочий день
298,"2018-10-25",Четверг,Рабочий день
299,"2018-10-26",Пятница,Рабочий день
300,"2018-10-27",Суббота,Выходной день
301,"2018-10-28",Воскресенье,Выходной день
302,"2018-10-29",Понедельник,Рабочий день
303,"2018-10-30",Вторник,Рабочий день
304,"2018-10-31",Среда,Рабочий день
305,"2018-11-01",Четверг,Рабочий день
306,"2018-11-02",Пятница,Рабочий день
307,"2018-11-03",Суббота,Выходной день
308,"2018-11-04",Воскресенье,Выходной день
309,"2018-11-05",Понедельник,Выходной день
310,"2018-11-06",Вторник,Рабочий день
311,"2018-11-07",Среда,Рабочий день
312,"2018-11-08",Четверг,Рабочий день
313,"2018-11-09",Пятница,Рабочий день
314,"2018-11-10",Суббота,Выходной день
315,"2018-11-11",Воскресенье,Выходной день
316,"2018-11-12",Понедельник,Рабочий день
317,"2018-11-13",Вторник,Рабочий день
318,"2018-11-14",Среда,Рабочий день
319,"2018-11-15",Четверг,Рабочий день
320,"2018-11-16",Пятница,Рабочий день
321,"2018-11-17",Суббота,Выходной день
322,"2018-11-18",Воскресенье,Выходной день
323,"2018-11-19",Понедельник,Рабочий день
324,"2018-11-20",Вторник,Рабочий день
325,"2018-11-21",Среда,Рабочий день
326,"2018-11-22",Четверг,Рабочий день
327,"2018-11-23",Пятница,Рабочий день
328,"2018-11-24",Суббота,Выходной день
329,"2018-11-25",Воскресенье,Выходной день
330,"2018-11-26",Понедельник,Рабочий день
331,"2018-11-27",Вторник,Рабочий день
332,"2018-11-28",Среда,Рабочий день
333,"2018-11-29",Четверг,Рабочий день
334,"2018-11-30",Пятница,Рабочий день
335,"2018-12-01",Суббота,Выходной день
336,"2018-12-02",Воскресенье,Выходной день
337,"2018-12-03",Понедельник,Рабочий день
338,"2018-12-04",Вторник,Рабочий день
339,"2018-12-05",Среда,Рабочий день
340,"2018-12-06",Четверг,Рабочий день
341,"2018-12-07",Пятница,Рабочий день
342,"2018-12-08",Суббота,Выходной день
343,"2018-12-09",Воскресенье,Выходной день
344,"2018-12-10",Понедельник,Рабочий день
345,"2018-12-11",Вторник,Рабочий день
346,"2018-12-12",Среда,Рабочий день
347,"2018-12-13",Четверг,Рабочий день
348,"2018-12-14",Пятница,Рабочий день
349,"2018-12-15",Суббота,Выходной день
350,"2018-12-16",Воскресенье,Выходной день
351,"2018-12-17",Понедельник,Рабочий день
352,"2018-12-18",Вторник,Рабочий день
353,"2018-12-19",Среда,Рабочий день
354,"2018-12-20",Четверг,Рабочий день
355,"2018-12-21",Пятница,Рабочий день
356,"2018-12-22",Суббота,Выходной день
357,"2018-12-23",Воскресенье,Выходной день
358,"2018-12-24",Понедельник,Рабочий день
359,"2018-12-25",Вторник,Рабочий день
360,"2018-12-26",Среда,Рабочий день
361,"2018-12-27",Четверг,Рабочий день
362,"2018-12-28",Пятница,Рабочий день
363,"2018-12-29",Суббота,Рабочий день
364,"2018-12-30",Воскресенье,Выходной день
365,"2018-12-31",Понедельник,Выходной день
366,"2019-01-01",Вторник,Праздник
367,"2019-01-02",Среда,Выходной день
368,"2019-01-03",Четверг,Выходной день
369,"2019-01-04",Пятница,Выходной день
370,"2019-01-05",Суббота,Выходной день
371,"2019-01-06",Воскресенье,Выходной день
372,"2019-01-07",Понедельник,Выходной день
373,"2019-01-08",Вторник,Выходной день
374,"2019-01-09",Среда,Рабочий день
375,"2019-01-10",Четверг,Рабочий день
376,"2019-01-11",Пятница,Рабочий день
377,"2019-01-12",Суббота,Выходной день
378,"2019-01-13",Воскресенье,Выходной день
379,"2019-01-14",Понедельник,Рабочий день
380,"2019-01-15",Вторник,Рабочий день
381,"2019-01-16",Среда,Рабочий день
382,"2019-01-17",Четверг,Рабочий день
383,"2019-01-18",Пятница,Рабочий день
384,"2019-01-19",Суббота,Выходной день
385,"2019-01-20",Воскресенье,Выходной день
386,"2019-01-21",Понедельник,Рабочий день
387,"2019-01-22",Вторник,Рабочий день
388,"2019-01-23",Среда,Рабочий день
389,"2019-01-24",Четверг,Рабочий день
390,"2019-01-25",Пятница,Рабочий день
391,"2019-01-26",Суббота,Выходной день
392,"2019-01-27",Воскресенье,Выходной день
393,"2019-01-28",Понедельник,Рабочий день
394,"2019-01-29",Вторник,Рабочий день
395,"2019-01-30",Среда,Рабочий день
396,"2019-01-31",Четверг,Рабочий день
397,"2019-02-01",Пятница,Рабочий день
398,"2019-02-02",Суббота,Выходной день
399,"2019-02-03",Воскресенье,Выходной день
400,"2019-02-04",Понедельник,Рабочий день
401,"2019-02-05",Вторник,Рабочий день
402,"2019-02-06",Среда,Рабочий день
403,"2019-02-07",Четверг,Рабочий день
404,"2019-02-08",Пятница,Рабочий день
405,"2019-02-09",Суббота,Выходной день
406,"2019-02-10",Воскресенье,Выходной день
407,"2019-02-11",Понедельник,Рабочий день
408,"2019-02-12",Вторник,Рабочий день
409,"2019-02-13",Среда,Рабочий день
410,"2019-02-14",Четверг,Рабочий день
411,"2019-02-15",Пятница,Рабочий день
412,"2019-02-16",Суббота,Выходной день
413,"2019-02-17",Воскресенье,Выходной день
414,"2019-02-18",Понедельник,Рабочий день
415,"2019-02-19",Вторник,Рабочий день
416,"2019-02-20",Среда,Рабочий день
417,"2019-02-21",Четверг,Рабочий день
418,"2019-02-22",Пятница,Рабочий день
419,"2019-02-23",Суббота,Выходной день
420,"2019-02-24",Воскресенье,Выходной день
421,"2019-02-25",Понедельник,Рабочий день
422,"2019-02-26",Вторник,Рабочий день
423,"2019-02-27",Среда,Рабочий день
424,"2019-02-28",Четверг,Рабочий день
425,"2019-03-01",Пятница,Рабочий день
426,"2019-03-02",Суббота,Выходной день
427,"2019-03-03",Воскресенье,Выходной день
428,"2019-03-04",Понедельник,Рабочий день
429,"2019-03-05",Вторник,Рабочий день
430,"2019-03-06",Среда,Рабочий день
431,"2019-03-07",Четверг,Рабочий день
432,"2019-03-08",Пятница,Праздник
433,"2019-03-09",Суббота,Выходной день
434,"2019-03-10",Воскресенье,Выходной день
435,"2019-03-11",Понедельник,Рабочий день
436,"2019-03-12",Вторник,Рабочий день
437,"2019-03-13",Среда,Рабочий день
438,"2019-03-14",Четверг,Рабочий день
439,"2019-03-15",Пятница,Рабочий день
440,"2019-03-16",Суббота,Выходной день
441,"2019-03-17",Воскресенье,Выходной день
442,"2019-03-18",Понедельник,Рабочий день
443,"2019-03-19",Вторник,Рабочий день
444,"2019-03-20",Среда,Рабочий день
445,"2019-03-21",Четверг,Рабочий день
446,"2019-03-22",Пятница,Рабочий день
447,"2019-03-23",Суббота,Выходной день
448,"2019-03-24",Воскресенье,Выходной день
449,"2019-03-25",Понедельник,Рабочий день
450,"2019-03-26",Вторник,Рабочий день
451,"2019-03-27",Среда,Рабочий день
452,"2019-03-28",Четверг,Рабочий день
453,"2019-03-29",Пятница,Рабочий день
454,"2019-03-30",Суббота,Выходной день
455,"2019-03-31",Воскресенье,Выходной день
456,"2019-04-01",Понедельник,Рабочий день
457,"2019-04-02",Вторник,Рабочий день
458,"2019-04-03",Среда,Рабочий день
459,"2019-04-04",Четверг,Рабочий день
460,"2019-04-05",Пятница,Рабочий день
461,"2019-04-06",Суббота,Выходной день
462,"2019-04-07",Воскресенье,Выходной день
463,"2019-04-08",Понедельник,Рабочий день
464,"2019-04-09",Вторник,Рабочий день
465,"2019-04-10",Среда,Рабочий день
466,"2019-04-11",Четверг,Рабочий день
467,"2019-04-12",Пятница,Рабочий день
468,"2019-04-13",Суббота,Выходной день
469,"2019-04-14",Воскресенье,Выходной день
470,"2019-04-15",Понедельник,Рабочий день
471,"2019-04-16",Вторник,Рабочий день
472,"2019-04-17",Среда,Рабочий день
473,"2019-04-18",Четверг,Рабочий день
474,"2019-04-19",Пятница,Рабочий день
